Time,Vibration,FFT,RPM,Current,Temperature
2026-06-22 12:15:47,0.011,48.499,0,0.334,26.871
2026-06-22 12:15:47,0.014,138.186,0,0.326,26.869
2026-06-22 12:15:48,0.011,50.337,0,0.327,26.873
2026-06-22 12:15:48,0.010,138.935,0,0.334,26.868
2026-06-22 12:15:48,0.010,37.961,0,0.334,26.867
2026-06-22 12:15:48,0.010,46.962,2760,0.324,26.868
2026-06-22 12:15:48,0.010,51.581,2760,0.327,26.868
2026-06-22 12:15:48,0.104,75.441,2760,0.339,26.870
2026-06-22 12:15:48,0.100,286.470,2760,0.332,26.867
2026-06-22 12:15:48,0.074,249.725,2760,0.335,26.865
2026-06-22 12:15:48,0.087,111.003,2760,0.328,26.862
2026-06-22 12:15:48,0.120,63.681,2760,0.329,26.861
2026-06-22 12:15:49,0.126,244.096,2760,0.337,26.861
2026-06-22 12:15:49,0.159,20.811,2760,0.338,26.863
2026-06-22 12:15:49,0.265,116.654,2760,0.338,26.864
2026-06-22 12:15:49,0.193,73.120,2760,0.343,26.860
2026-06-22 12:15:49,0.211,130.078,2760,0.344,26.862
2026-06-22 12:15:49,0.222,158.209,2760,0.342,26.859
2026-06-22 12:15:49,0.256,155.198,2760,0.351,26.860
2026-06-22 12:15:49,0.237,120.552,2760,0.348,26.858
2026-06-22 12:15:49,0.213,154.770,2760,0.349,26.858
2026-06-22 12:15:49,0.234,152.565,2760,0.355,26.858
2026-06-22 12:15:50,0.212,153.510,2760,0.353,26.862
2026-06-22 12:15:50,0.202,151.440,2760,0.354,26.861
2026-06-22 12:15:50,0.220,155.707,2760,0.357,26.854
2026-06-22 12:15:50,0.198,149.444,2640,0.367,26.857
2026-06-22 12:15:50,0.183,151.070,2640,0.367,26.857
2026-06-22 12:15:50,0.231,149.727,2640,0.366,26.857
2026-06-22 12:15:50,0.111,134.668,2640,0.361,26.856
2026-06-22 12:15:50,0.010,45.310,2640,0.352,26.855
2026-06-22 12:15:50,0.010,45.575,2520,0.353,26.854
2026-06-22 12:15:50,0.010,181.146,2520,0.339,26.860
2026-06-22 12:15:51,0.011,47.148,2520,0.344,26.859
2026-06-22 12:15:51,0.010,47.801,2520,0.341,26.853
2026-06-22 12:15:51,0.011,189.068,2520,0.335,26.855
2026-06-22 12:15:51,0.011,46.514,2760,0.334,26.851
2026-06-22 12:15:51,0.013,186.225,2760,0.344,26.854
2026-06-22 12:15:51,0.011,137.803,2760,0.339,26.856
2026-06-22 12:15:51,0.010,186.510,2760,0.333,26.852
2026-06-22 12:15:51,0.011,138.652,2760,0.333,26.856
2026-06-22 12:15:51,0.010,47.151,2760,0.330,26.849
2026-06-22 12:15:52,0.013,139.772,2760,0.328,26.853
2026-06-22 12:15:52,0.011,184.637,2760,0.337,26.855
2026-06-22 12:15:52,0.011,187.751,2760,0.333,26.857
2026-06-22 12:15:52,0.011,132.455,2760,0.335,26.853
2026-06-22 12:15:52,0.013,187.752,2760,0.336,26.854
2026-06-22 12:15:52,0.011,183.648,2760,0.334,26.852
2026-06-22 12:15:52,0.011,188.676,2760,0.337,26.849
2026-06-22 12:15:52,0.011,187.776,2760,0.337,26.854
2026-06-22 12:15:52,0.011,140.171,2880,0.334,26.851
2026-06-22 12:15:52,0.013,50.095,2880,0.341,26.849
2026-06-22 12:15:53,0.011,185.093,2880,0.336,26.849
2026-06-22 12:15:53,0.011,187.071,2880,0.338,26.854
2026-06-22 12:15:53,0.014,134.770,2880,0.339,26.851
2026-06-22 12:15:53,0.011,186.656,2760,0.338,26.856
2026-06-22 12:15:53,0.010,46.322,2760,0.338,26.853
2026-06-22 12:15:53,0.010,184.834,2760,0.338,26.850
2026-06-22 12:15:53,0.011,149.350,2760,0.335,26.851
2026-06-22 12:15:53,0.010,48.766,2760,0.338,26.854
2026-06-22 12:15:53,0.011,138.313,2760,0.330,26.856
2026-06-22 12:15:53,0.011,45.883,2760,0.336,26.855
2026-06-22 12:15:54,0.011,45.689,2760,0.339,26.856
2026-06-22 12:15:54,0.010,184.769,2760,0.342,26.857
2026-06-22 12:15:54,0.013,183.593,2760,0.331,26.858
2026-06-22 12:15:54,0.011,137.453,2760,0.344,26.857
2026-06-22 12:15:54,0.011,182.375,2760,0.339,26.855
2026-06-22 12:15:54,0.010,45.445,2760,0.341,26.853
2026-06-22 12:15:54,0.010,186.561,2760,0.340,26.855
2026-06-22 12:15:54,0.011,48.113,2760,0.337,26.858
2026-06-22 12:15:54,0.010,184.336,2880,0.339,26.853
2026-06-22 12:15:54,0.013,138.409,2880,0.339,26.853
2026-06-22 12:15:55,0.011,49.364,2880,0.338,26.859
2026-06-22 12:15:55,0.010,183.790,2880,0.334,26.855
2026-06-22 12:15:55,0.010,47.389,2880,0.336,26.856
2026-06-22 12:15:55,0.011,46.952,2760,0.332,26.854
2026-06-22 12:15:55,0.010,140.400,2760,0.332,26.858
2026-06-22 12:15:55,0.011,45.575,2760,0.335,26.854
2026-06-22 12:15:55,0.013,136.060,2760,0.334,26.855
2026-06-22 12:15:55,0.013,185.174,2760,0.332,26.854
