Time,Vibration,FFT,RPM,Current,Temperature
2026-06-23 14:23:12,0.031,139.397,2760,0.210,26.295
2026-06-23 14:23:12,0.029,138.779,0,0.209,26.297
2026-06-23 14:23:12,0.027,139.343,0,0.207,26.296
2026-06-23 14:23:12,0.027,139.307,0,0.211,26.293
2026-06-23 14:23:12,0.032,139.902,0,0.207,26.289
2026-06-23 14:23:12,0.027,139.275,2760,0.210,26.291
2026-06-23 14:23:12,0.031,139.174,2760,0.207,26.290
2026-06-23 14:23:12,0.029,138.860,2760,0.207,26.292
2026-06-23 14:23:12,0.027,139.498,2760,0.206,26.295
2026-06-23 14:23:12,0.027,140.038,2760,0.208,26.288
2026-06-23 14:23:13,0.028,139.348,2760,0.205,26.287
2026-06-23 14:23:13,0.024,139.833,2760,0.205,26.291
2026-06-23 14:23:13,0.026,139.401,2760,0.207,26.288
2026-06-23 14:23:13,0.045,139.548,2760,0.202,26.294
2026-06-23 14:23:13,0.058,459.857,2760,0.210,26.290
2026-06-23 14:23:13,0.041,318.484,2880,0.219,26.296
2026-06-23 14:23:13,0.058,226.997,2880,0.217,26.297
2026-06-23 14:23:13,0.116,131.568,2880,0.222,26.292
2026-06-23 14:23:13,0.113,172.909,2880,0.228,26.301
2026-06-23 14:23:13,0.132,473.375,2880,0.239,26.296
2026-06-23 14:23:14,0.104,129.379,2640,0.237,26.299
2026-06-23 14:23:14,0.096,296.043,2640,0.243,26.299
2026-06-23 14:23:14,0.087,255.422,2640,0.242,26.301
2026-06-23 14:23:14,0.112,295.838,2640,0.244,26.303
2026-06-23 14:23:14,0.104,211.632,2640,0.246,26.306
2026-06-23 14:23:14,0.107,378.996,2520,0.246,26.307
2026-06-23 14:23:14,0.085,171.449,2520,0.237,26.299
2026-06-23 14:23:14,0.098,384.288,2520,0.240,26.300
2026-06-23 14:23:14,0.083,128.781,2520,0.236,26.303
2026-06-23 14:23:14,0.092,173.109,2520,0.233,26.304
2026-06-23 14:23:15,0.111,171.443,2520,0.232,26.309
2026-06-23 14:23:15,0.111,301.162,2520,0.240,26.307
2026-06-23 14:23:15,0.131,215.002,2520,0.240,26.311
2026-06-23 14:23:15,0.109,86.592,2520,0.235,26.308
2026-06-23 14:23:15,0.123,212.969,2520,0.241,26.308
2026-06-23 14:23:15,0.129,171.359,2640,0.240,26.310
2026-06-23 14:23:15,0.130,170.235,2640,0.242,26.314
2026-06-23 14:23:15,0.134,296.732,2640,0.239,26.313
2026-06-23 14:23:15,0.107,213.742,2640,0.235,26.314
2026-06-23 14:23:16,0.129,211.482,2640,0.242,26.303
2026-06-23 14:23:16,0.114,86.106,2520,0.238,26.315
2026-06-23 14:23:16,0.131,214.282,2520,0.242,26.311
2026-06-23 14:23:16,0.140,85.147,2520,0.240,26.315
2026-06-23 14:23:16,0.126,211.183,2520,0.242,26.318
2026-06-23 14:23:16,0.162,128.211,2520,0.241,26.315
2026-06-23 14:23:16,0.127,86.865,2520,0.237,26.316
2026-06-23 14:23:16,0.130,214.415,2520,0.240,26.321
2026-06-23 14:23:16,0.130,215.314,2520,0.234,26.317
2026-06-23 14:23:16,0.134,85.809,2520,0.241,26.314
2026-06-23 14:23:17,0.181,85.339,2640,0.236,26.320
2026-06-23 14:23:17,0.198,171.270,2640,0.237,26.321
2026-06-23 14:23:17,0.116,89.141,2640,0.239,26.322
2026-06-23 14:23:17,0.114,169.360,2640,0.232,26.320
2026-06-23 14:23:17,0.138,130.252,2640,0.233,26.317
2026-06-23 14:23:17,0.129,300.952,2520,0.230,26.322
2026-06-23 14:23:17,0.114,173.655,2520,0.232,26.313
2026-06-23 14:23:17,0.111,131.386,2520,0.227,26.320
2026-06-23 14:23:17,0.068,220.426,2520,0.229,26.319
2026-06-23 14:23:17,0.056,439.775,2520,0.222,26.318
2026-06-23 14:23:18,0.095,174.117,2640,0.228,26.314
2026-06-23 14:23:18,0.068,191.177,2640,0.220,26.318
2026-06-23 14:23:18,0.090,67.192,2640,0.214,26.316
2026-06-23 14:23:18,0.087,172.944,2640,0.222,26.320
2026-06-23 14:23:18,0.086,99.976,2640,0.217,26.314
2026-06-23 14:23:18,0.074,24.431,2640,0.217,26.321
2026-06-23 14:23:18,0.077,306.302,2640,0.228,26.314
