Time,Vibration,FFT,RPM,Current,Temperature
2026-06-23 14:17:05,0.024,140.636,2880,0.210,26.339
2026-06-23 14:17:05,0.022,141.261,0,0.214,26.337
2026-06-23 14:17:05,0.022,141.505,0,0.213,26.335
2026-06-23 14:17:05,0.023,139.091,0,0.214,26.335
2026-06-23 14:17:06,0.024,140.618,0,0.222,26.334
2026-06-23 14:17:06,0.014,141.008,2760,0.221,26.338
2026-06-23 14:17:06,0.018,140.637,2760,0.222,26.334
2026-06-23 14:17:06,0.020,141.229,2760,0.213,26.337
2026-06-23 14:17:06,0.023,141.278,2760,0.213,26.333
2026-06-23 14:17:06,0.017,141.433,2760,0.217,26.337
2026-06-23 14:17:06,0.022,141.301,2880,0.208,26.339
2026-06-23 14:17:06,0.026,141.477,2880,0.213,26.338
2026-06-23 14:17:06,0.130,138.203,2880,0.218,26.337
2026-06-23 14:17:06,0.134,138.054,2880,0.222,26.335
2026-06-23 14:17:07,0.153,137.979,2880,0.221,26.337
2026-06-23 14:17:07,0.111,136.827,2760,0.228,26.343
2026-06-23 14:17:07,0.147,87.673,2760,0.234,26.336
2026-06-23 14:17:07,0.103,90.618,2760,0.231,26.340
2026-06-23 14:17:07,0.101,90.383,2760,0.230,26.339
2026-06-23 14:17:07,0.094,90.547,2760,0.232,26.336
2026-06-23 14:17:07,0.090,89.615,2760,0.232,26.339
2026-06-23 14:17:07,0.094,129.778,2760,0.232,26.341
2026-06-23 14:17:07,0.085,90.690,2760,0.229,26.337
2026-06-23 14:17:07,0.091,91.142,2760,0.234,26.339
2026-06-23 14:17:08,0.122,89.042,2760,0.226,26.337
2026-06-23 14:17:08,0.122,90.133,2640,0.231,26.336
2026-06-23 14:17:08,0.091,85.464,2640,0.225,26.339
2026-06-23 14:17:08,0.103,89.847,2640,0.224,26.340
2026-06-23 14:17:08,0.095,49.588,2640,0.227,26.338
2026-06-23 14:17:08,0.063,131.729,2640,0.234,26.339
2026-06-23 14:17:08,0.064,222.400,2640,0.239,26.336
2026-06-23 14:17:08,0.094,71.047,2640,0.241,26.338
2026-06-23 14:17:08,0.101,217.351,2640,0.244,26.335
2026-06-23 14:17:08,0.059,301.705,2640,0.238,26.338
2026-06-23 14:17:09,0.035,218.480,2640,0.246,26.340
2026-06-23 14:17:09,0.040,305.277,2640,0.243,26.336
2026-06-23 14:17:09,0.042,217.069,2640,0.241,26.337
2026-06-23 14:17:09,0.073,216.833,2640,0.239,26.334
2026-06-23 14:17:09,0.081,217.071,2640,0.240,26.336
2026-06-23 14:17:09,0.038,218.546,2640,0.243,26.334
2026-06-23 14:17:09,0.031,218.863,2640,0.234,26.336
2026-06-23 14:17:09,0.041,133.269,2640,0.231,26.340
2026-06-23 14:17:09,0.060,133.624,2640,0.229,26.340
2026-06-23 14:17:10,0.065,138.533,2640,0.232,26.329
2026-06-23 14:17:10,0.090,91.591,2640,0.225,26.339
2026-06-23 14:17:10,0.083,133.517,2640,0.230,26.337
2026-06-23 14:17:10,0.080,133.710,2640,0.236,26.331
2026-06-23 14:17:10,0.058,135.759,2640,0.229,26.335
2026-06-23 14:17:10,0.085,139.506,2640,0.226,26.336
2026-06-23 14:17:10,0.081,275.436,2760,0.226,26.330
2026-06-23 14:17:10,0.063,321.023,2760,0.226,26.334
2026-06-23 14:17:10,0.067,44.959,2760,0.227,26.328
2026-06-23 14:17:10,0.103,276.377,2760,0.230,26.334
2026-06-23 14:17:11,0.131,134.226,2760,0.233,26.337
2026-06-23 14:17:11,0.112,275.209,2760,0.221,26.337
2026-06-23 14:17:11,0.163,275.674,2760,0.223,26.337
2026-06-23 14:17:11,0.138,274.496,2760,0.223,26.334
2026-06-23 14:17:11,0.105,130.445,2760,0.230,26.332
2026-06-23 14:17:11,0.067,415.915,2760,0.224,26.328
2026-06-23 14:17:11,0.073,73.385,2640,0.219,26.335
2026-06-23 14:17:11,0.082,681.503,2640,0.217,26.331
2026-06-23 14:17:11,0.117,139.231,2640,0.217,26.331
2026-06-23 14:17:11,0.116,46.000,2640,0.216,26.328
2026-06-23 14:17:12,0.120,47.463,2640,0.225,26.334
2026-06-23 14:17:12,0.112,91.187,2760,0.222,26.334
2026-06-23 14:17:12,0.103,90.665,2760,0.229,26.329
2026-06-23 14:17:12,0.073,90.839,2760,0.222,26.335
2026-06-23 14:17:12,0.085,185.051,2760,0.220,26.329
2026-06-23 14:17:12,0.103,92.226,2760,0.229,26.327
2026-06-23 14:17:12,0.074,133.185,2760,0.221,26.331
2026-06-23 14:17:12,0.049,136.108,2760,0.221,26.331
2026-06-23 14:17:12,0.046,137.659,2760,0.219,26.331
2026-06-23 14:17:12,0.099,276.974,2760,0.210,26.329
2026-06-23 14:17:13,0.126,276.254,2760,0.211,26.332
2026-06-23 14:17:13,0.141,184.089,2760,0.213,26.327
2026-06-23 14:17:13,0.104,276.008,2760,0.221,26.323
2026-06-23 14:17:13,0.058,132.309,2760,0.217,26.320
2026-06-23 14:17:13,0.112,273.719,2760,0.218,26.323
2026-06-23 14:17:13,0.125,276.880,2760,0.218,26.327
2026-06-23 14:17:13,0.089,277.986,2760,0.219,26.321
2026-06-23 14:17:13,0.122,277.001,2760,0.223,26.320
2026-06-23 14:17:13,0.130,134.970,2760,0.218,26.319
2026-06-23 14:17:14,0.114,90.846,2760,0.222,26.318
2026-06-23 14:17:14,0.122,89.274,2760,0.222,26.321
2026-06-23 14:17:14,0.101,178.511,2760,0.229,26.323
2026-06-23 14:17:14,0.087,87.207,2760,0.229,26.321
2026-06-23 14:17:14,0.099,134.325,2760,0.229,26.320
2026-06-23 14:17:14,0.113,89.248,2760,0.229,26.319
2026-06-23 14:17:14,0.078,131.116,2760,0.224,26.317
2026-06-23 14:17:14,0.026,139.098,2760,0.216,26.321
2026-06-23 14:17:14,0.024,137.766,2760,0.216,26.317
2026-06-23 14:17:14,0.027,138.992,2760,0.219,26.317
2026-06-23 14:17:15,0.022,139.870,2760,0.220,26.316
2026-06-23 14:17:15,0.027,137.879,2760,0.220,26.316
2026-06-23 14:17:15,0.033,138.662,2760,0.219,26.318
2026-06-23 14:17:15,0.028,140.634,2760,0.218,26.312
2026-06-23 14:17:15,0.029,139.611,2760,0.216,26.311
2026-06-23 14:17:15,0.028,140.492,2760,0.215,26.313
2026-06-23 14:17:15,0.027,139.704,2760,0.218,26.312
2026-06-23 14:17:15,0.027,139.643,2760,0.220,26.315
2026-06-23 14:17:15,0.028,138.437,2760,0.221,26.326
2026-06-23 14:17:15,0.031,141.120,2760,0.216,26.321
2026-06-23 14:17:16,0.028,138.238,2760,0.217,26.325
2026-06-23 14:17:16,0.027,139.532,2760,0.221,26.314
2026-06-23 14:17:16,0.035,140.503,2760,0.221,26.319
2026-06-23 14:17:16,0.029,140.496,2760,0.220,26.310
2026-06-23 14:17:16,0.026,140.220,2760,0.217,26.310
2026-06-23 14:17:16,0.031,140.878,2760,0.215,26.317
2026-06-23 14:17:16,0.033,140.375,2880,0.216,26.320
2026-06-23 14:17:16,0.036,139.414,2880,0.213,26.316
2026-06-23 14:17:16,0.032,141.010,2880,0.221,26.312
2026-06-23 14:17:16,0.029,139.659,2880,0.219,26.317
2026-06-23 14:17:17,0.035,140.034,2880,0.221,26.319
2026-06-23 14:17:17,0.023,139.657,2760,0.222,26.317
2026-06-23 14:17:17,0.024,139.969,2760,0.223,26.303
2026-06-23 14:17:17,0.026,140.210,2760,0.219,26.314
2026-06-23 14:17:17,0.024,140.153,2760,0.220,26.311
2026-06-23 14:17:17,0.024,138.987,2760,0.218,26.315
